week,date,date_end,title,deadline,content,assignment,note
1,1/15/25,,Introduction,,content/01-week1,,
2,1/20/25,,NO CLASS. MLK Day.,,content/02-week2,,
2,1/22/25,,Problems of Collective Action,,,,
3,1/27/25,,American Democracy: Fragile or Stable?,,content/03-week3,,
3,1/29/25,,American Democracy: Fragile or Stable?,,,,
4,2/3/25,,The Constitution,,content/04-week4,,
4,2/5/25,,The Constitution,,,,
4,2/7/25,,Congressmember profile due,11:59 PM,,assignment/congressmember-profile,
5,2/10/25,,Federalism,,content/05-week5,,
5,2/12/25,,Civil Liberties,,,,
6,2/17/25,,Civil Rights,,content/06-week6,,
6,2/19/25,,Congress: Representation,,,,
6,2/21/25,,Response Paper 1 due,11:59 PM,,assignment/response-papers,
7,2/24/25,,Congress: Ambitious Politicians,,content/07-week7,,
7,2/26/25,,Congress: Institutional Dynamics,,,,
8,3/3/25,,Review,,content/08-week8,,
8,3/5/25,,Midterm,,,,
9,3/9/25,3/15/25,Journeys/Peak Week,,content/09-week9,,
10,3/16/25,3/23/25,Spring Break,,content/10-week10,,
11,3/24/25,,Campaign Memo,,content/11-week11,,
11,3/26/25,,Presidency,,,,
12,3/31/25,,Bureaucracy,,content/12-week12,,
12,4/2/25,,Judiciary,,,,
12,4/4/25,,Congressional district profile due,11:59 PM,,assignment/district-profile,
13,4/7/25,,Political Parties,,content/13-week13,,
13,4/9/25,,Political Parties,,,,
13,4/11/25,,Response Paper 2 due,11:59 PM,,assignment/response-papers,
14,4/14/25,,"Public Opinion, Elections, and Campaigns",,content/14-week14,,
14,4/16/25,,"Public Opinion, Elections, and Campaigns",,,,
15,4/21/25,,"Public Opinion, Elections, and Campaigns",,content/15-week15,,
15,4/21/25,,Full draft of campaign memo for peer-review,3:30 PM,,assignment/campaign-memo,
15,4/23/25,,Interest Groups,,,,
16,4/28/25,,Interest Groups,,content/16-week16,,
16,4/30/25,,Media,,,,
16,5/2/25,,Final draft of campaign memo due,11:59 PM,,assignment/campaign-memo,
17,5/5/25,,Applications to Policy,,content/17-week17,,
17,5/7/25,,The Future of American Democracy,,,,
17,5/7/25,,Response Paper 3 due,5:00 PM,,assignment/response-papers,
18,5/13/25,,Final Exam due for Seniors,5:00 PM,content/18-week18,,
18,5/14/25,,Final Exam due for Non-seniors,5:00 PM,,,
